review_id,beer_id,state,gender,state_id
0,0,Wisconsin,Male,49
1,0,Tennessee,Male,42
3,0,Massachusetts,Male,21
4,0,Illinois,Male,13
5,0,Florida,Male,9
6,0,Connecticut,Male,6
7,0,Connecticut,Male,6
8,0,Colorado,Male,5
9,0,Minnesota,Male,23
10,0,New Jersey,Male,30
11,0,Missouri,Male,25
12,0,Massachusetts,Male,21
13,0,Ohio,Male,35
14,0,Minnesota,Male,23
15,0,Illinois,Male,13
16,0,Georgia,Male,10
17,0,Colorado,Male,5
18,0,Massachusetts,Male,21
19,0,Rhode Island,Male,39
20,0,Massachusetts,Male,21
21,0,Maryland,Male,20
22,1,Minnesota,Male,23
23,1,Illinois,Male,13
24,1,California,Other,4
25,1,Florida,Male,9
26,1,Indiana,Male,14
27,1,Illinois,Male,13
28,1,Illinois,Male,13
29,1,Indiana,Male,14
30,1,Missouri,Male,25
31,1,Massachusetts,Male,21
32,1,California,Other,4
33,1,Ohio,Male,35
34,1,Indiana,Male,14
35,1,Wisconsin,Male,49
36,1,Indiana,Male,14
37,1,Massachusetts,Male,21
38,1,Missouri,Male,25
39,1,Massachusetts,Male,21
40,1,California,Male,4
41,1,Rhode Island,Male,39
42,1,Massachusetts,Male,21
43,1,Vermont,Other,45
44,1,Michigan,Other,22
45,2,Tennessee,Male,42
46,2,New York,Male,32
47,2,Pennsylvania,Male,38
48,2,Indiana,Male,14
49,2,Virginia,Male,46
50,2,Minnesota,Male,23
52,2,Ohio,Male,35
53,2,Maine,Male,19
54,2,Rhode Island,Male,39
56,2,Delaware,Male,7
57,2,New York,Male,32
58,2,Illinois,Male,13
59,2,Ohio,Male,35
60,2,California,Male,4
61,2,New York,Male,32
62,2,West Virginia,Male,48
63,2,Massachusetts,Male,21
64,2,Oregon,Male,37
65,2,Illinois,Male,13
66,2,New York,Other,32
67,2,Florida,Male,9
68,2,Illinois,Male,13
69,3,New York,Male,32
70,3,Illinois,Male,13
71,3,Colorado,Male,5
72,3,Massachusetts,Male,21
73,3,Ohio,Male,35
75,3,Missouri,Male,25
76,3,Tennessee,Male,42
77,3,Wisconsin,Male,49
79,3,Alabama,Male,0
80,3,Minnesota,Male,23
81,3,Arkansas,Male,3
82,3,Minnesota,Male,23
83,3,Michigan,Male,22
84,3,West Virginia,Male,48
85,3,Massachusetts,Male,21
86,3,Illinois,Male,13
87,3,Illinois,Male,13
88,3,Maryland,Other,20
89,3,Florida,Male,9
90,3,Georgia,Male,10
91,3,Illinois,Male,13
92,3,Colorado,Male,5
93,4,California,Male,4
94,4,Maryland,Male,20
95,4,California,Other,4
96,4,New York,Male,32
97,4,Utah,Male,44
98,4,Washington,Male,47
99,4,Virginia,Male,46
100,4,New York,Other,32
101,4,Maine,Male,19
102,4,Massachusetts,Male,21
103,4,California,Male,4
104,4,California,Male,4
105,4,California,Male,4
106,4,Pennsylvania,Male,38
107,4,Virginia,Male,46
108,4,California,Male,4
109,4,Massachusetts,Other,21
110,4,New Jersey,Other,30
111,4,Illinois,Male,13
112,4,Massachusetts,Male,21
113,5,Illinois,Male,13
114,5,Connecticut,Other,6
115,5,New York,Other,32
116,5,South Carolina,Male,40
117,5,New Jersey,Male,30
118,5,California,Other,4
119,5,Illinois,Male,13
120,5,Pennsylvania,Male,38
121,5,Indiana,Male,14
122,5,Nebraska,Male,27
123,5,Iowa,Male,15
124,5,Minnesota,Male,23
125,5,Wisconsin,Male,49
126,5,Virginia,Male,46
127,5,California,Male,4
128,5,Illinois,Male,13
129,5,Washington,Male,47
130,5,Illinois,Male,13
131,5,Illinois,Other,13
132,5,Illinois,Other,13
133,5,Virginia,Other,46
134,5,Minnesota,Male,23
135,5,California,Male,4
136,6,Illinois,Male,13
137,6,Kentucky,Male,17
138,6,New Jersey,Male,30
139,6,New York,Other,32
140,6,California,Male,4
141,6,Tennessee,Male,42
142,6,Ohio,Male,35
143,6,California,Male,4
144,6,California,Other,4
145,6,Minnesota,Male,23
146,6,Texas,Male,43
147,6,Massachusetts,Male,21
148,6,California,Male,4
149,6,North Carolina,Male,33
150,6,California,Other,4
151,6,Pennsylvania,Male,38
152,6,Washington,Male,47
153,7,Massachusetts,Male,21
154,7,New York,Male,32
155,7,Massachusetts,Male,21
156,7,California,Other,4
157,7,Massachusetts,Male,21
158,7,New Hampshire,Male,29
159,7,New York,Male,32
160,7,Illinois,Male,13
161,7,New Hampshire,Male,29
162,7,Maine,Male,19
163,7,New Hampshire,Male,29
164,7,New Hampshire,Male,29
165,7,Pennsylvania,Male,38
166,7,Massachusetts,Other,21
167,7,Massachusetts,Male,21
168,7,New Jersey,Male,30
169,7,Massachusetts,Male,21
170,7,South Carolina,Male,40
171,7,Connecticut,Male,6
172,8,Connecticut,Male,6
173,8,Washington,Male,47
174,8,Tennessee,Male,42
175,8,Tennessee,Other,42
176,8,New Jersey,Male,30
177,8,New York,Male,32
178,8,Massachusetts,Male,21
179,8,New York,Other,32
180,8,Massachusetts,Male,21
181,8,Massachusetts,Male,21
182,8,Rhode Island,Male,39
183,8,Minnesota,Male,23
184,8,Illinois,Male,13
185,8,Massachusetts,Male,21
186,8,Alabama,Male,0
187,8,Connecticut,Male,6
189,8,Texas,Male,43
190,8,Ohio,Male,35
191,9,Maine,Male,19
192,9,Massachusetts,Male,21
193,9,Illinois,Male,13
194,9,New York,Male,32
195,9,Massachusetts,Male,21
197,9,New York,Male,32
198,9,Connecticut,Male,6
199,9,New York,Male,32
200,9,Massachusetts,Male,21
201,9,Massachusetts,Male,21
202,9,Alabama,Male,0
203,9,New York,Male,32
204,9,Virginia,Male,46
205,9,Pennsylvania,Male,38
206,9,Massachusetts,Male,21
207,9,Massachusetts,Male,21
208,9,Minnesota,Male,23
209,9,Illinois,Male,13
210,9,California,Other,4
211,9,Massachusetts,Male,21
212,9,New York,Male,32
213,9,Missouri,Male,25
214,10,North Carolina,Male,33
215,10,Illinois,Male,13
216,10,Massachusetts,Male,21
217,10,Nebraska,Male,27
218,10,Ohio,Male,35
219,10,Massachusetts,Male,21
220,10,Illinois,Other,13
221,10,Vermont,Other,45
222,10,Iowa,Male,15
223,10,Iowa,Other,15
224,10,Minnesota,Male,23
225,10,Illinois,Male,13
226,10,Vermont,Male,45
227,10,Massachusetts,Male,21
228,10,Minnesota,Other,23
229,10,Ohio,Male,35
230,10,New Mexico,Male,31
231,10,Iowa,Male,15
232,10,Wisconsin,Male,49
233,10,Arkansas,Male,3
234,10,Virginia,Male,46
236,11,New York,Male,32
237,11,Indiana,Male,14
238,11,North Carolina,Male,33
239,11,California,Other,4
240,11,Idaho,Male,12
241,11,Illinois,Male,13
242,11,Massachusetts,Male,21
243,11,Indiana,Male,14
244,11,California,Male,4
245,11,New Jersey,Male,30
246,11,California,Male,4
247,11,California,Male,4
248,11,Indiana,Male,14
249,11,Washington,Male,47
250,11,California,Male,4
251,11,Florida,Male,9
252,11,Pennsylvania,Male,38
253,11,Pennsylvania,Other,38
254,11,Illinois,Male,13
255,11,Illinois,Male,13
256,11,Massachusetts,Male,21
257,12,Texas,Other,43
258,12,Pennsylvania,Male,38
259,12,Florida,Male,9
260,12,Illinois,Other,13
261,12,Indiana,Other,14
262,12,Maryland,Other,20
264,12,Illinois,Other,13
265,12,New Jersey,Male,30
266,12,Ohio,Male,35
267,12,California,Male,4
268,12,Wisconsin,Other,49
269,12,Pennsylvania,Male,38
272,12,Illinois,Male,13
273,12,Massachusetts,Other,21
274,13,California,Male,4
275,13,Colorado,Male,5
276,13,New York,Male,32
277,13,Colorado,Male,5
280,13,Illinois,Male,13
283,13,California,Male,4
284,13,Virginia,Male,46
285,13,California,Male,4
286,13,Illinois,Male,13
287,13,Washington,Male,47
288,14,Maine,Male,19
289,14,Pennsylvania,Male,38
290,14,New York,Other,32
291,14,Massachusetts,Male,21
292,14,Connecticut,Male,6
293,14,New Jersey,Male,30
294,14,Massachusetts,Male,21
295,14,Massachusetts,Male,21
296,14,Pennsylvania,Other,38
297,14,California,Male,4
